,country,per1000people,total,year
0,Gibraltar,1444,48641,2022
1,Guernsey,1365,86000,2014
2,San Marino,1300,44200,2022
3,Liechtenstein,1193,45800,2022
4,Andorra,1050,81000,2021
5,Monaco,910,35500,2022
6,United States,908,305000000,2023
7,New Zealand,884,4529700,2022
8,Canada,790,30754600,2022
9,Finland,790,4368796,2022
10,Malta,786,419254,2022
11,Cyprus,785,1000000,2022
12,Luxembourg,784,506000,2022
13,Australia,782,20335000,2022
14,Guam,777,131140,2020
15,Italy,755,45487900,2022
16,Estonia,715,950000,2022
17,Iceland,720,286795,2023
18,Poland,687,25869804,2021
19,Jersey,674,68219,2021
20,France,668,45297000,2022
21,Puerto Rico,666,2130000,2022
22,Japan,661,82644029,2023
23,Slovenia,660,1385371,2020
24,Bahamas,650,260000,2022
25,Czech Republic,648,6931618,2020
26,Portugal,639,6591000,2020
27,Wales,637,2000000,2021
28,Norway,635,3416216,2020
29,Germany,628,52275833,2020
30,Spain,627,29707581,2020
31,Brunei,614,268801,2020
32,Slovakia,611,3335000,2023
33,Greece,606,6491063,2020
34,Switzerland,604,5215771,2020
35,United Kingdom,600,40800000,2022
36,Qatar,591,1701346,2020
37,Belgium,590,6820078,2020
38,Netherlands,588,10248388,2020
39,Austria,572,5633525,2022
40,Antigua and Barbuda,561,54891,2020
41,Scotland,557,3040000,2020
42,Kuwait,556,2375917,2020
43,Dominica,550,40000,2022
44,Sweden,545,5637469,2020
45,Malaysia,542,17728482,2021
46,Denmark,540,3147315,2020
47,Ireland,535,2672032,2020
48,South Korea,526,25845648,2023
49,Lithuania,507,1416467,2020
50,Bulgaria,482,3339338,2019
51,Croatia,479,1940098,2020
52,Saint Kitts and Nevis,479,25321,2019
53,Syria,472,9810000,2020
54,Hungary,463,4515769,2020
55,Nauru,455,5000,2022
56,Suriname,446,259370,2019
57,Dominican Republic,442,4800000,2020
58,Romania,441,8502571,2020
59,Bahrain,430,731935,2020
60,Barbados,417,120000,2022
61,Chile,416,8000000,2022
62,Argentina,402,18500000,2022
63,Lesotho,400,836725,2017
64,Russia,395,58116046,2022
65,Latvia,394,749483,2020
66,Mexico,391,50400000,2020
67,Israel,390,3684154,2021
68,Serbia,389,2607956,2021
69,Brazil,386,83000000,2022
70,Georgia,378,1404400,2020
71,Moldova,367,961103,2020
72,Montenegro,367,228162,2019
73,Taiwan,365,8536705,2023
74,United Arab Emirates,354,3500000,2021
75,Uruguay,348,1193904,2020
76,Bosnia and Herzegovina,345,1131821,2021
77,Belarus,343,3229935,2019
78,Oman,335,1551496,2020
79,Trinidad and Tobago,329,458712,2019
80,Colombia,296,15000000,2021
81,Lebanon,295,2000000,2021
82,Seychelles,295,29086,2020
83,Costa Rica,287,2000000,2021
84,Guyana,285,228000,2022
85,Thailand,280,19576630,2022
86,Turkey,272,23220435,2023
87,Grenada,268,30105,2020
88,Botswana,260,599460,2019
89,Ukraine,245,10500000,2021
90,Maldives,241,131000,2022
91,Albania,238,740000,2022
92,Guatemala,237,4000000,2020
93,Kazakhstan,226,4283000,2020
94,Honduras,222,2200000,2020
95,Belize,222,86840,2019
96,China,221,315000000,2022
97,Panama,218,939000,2019
98,Mongolia,217,723218,2021
99,Saint Lucia,208,37936,2019
100,North Macedonia,205,427000,2019
101,Saint Vincent and the Grenadines,204,22561,2019
102,Kyrgyzstan,201,1300000,2019
103,Iran,183,15963000,2020
104,Macau,180,120075,2022
105,Armenia,177,524039,2021
106,Tunisia,177,2072000,2019
107,South Africa,176,10339000,2020
108,Bolivia,174,2000000,2019
109,Jordan,169,1728144,2020
110,Tonga,162,16717,2018
111,Namibia,161,418292,2021
112,Sri Lanka,157,3427150,2019
113,São Tomé and Príncipe,157,34400,2020
114,Saudi Arabia,156,5346120,2019
115,Bhutan,150,116926,2021
116,Singapore,149,847950,2022
117,Algeria,149,6395730,2019
118,Azerbaijan,146,1473563,2020
119,Fiji,145,130000,2020
120,Nicaragua,144,944380,2019
121,Ecuador,143,2535853,2021
122,Venezuela,140,4100000,2022
123,Myanmar,138,7560000,2021
124,Cape Verde,133,72455,2018
125,Samoa,130,25235,2016
126,Philippines,120,13889136,2022
127,Peru,116,3771260,2019
128,Nepal,113,3241805,2019
129,Iraq,111,4715000,2020
130,Morocco,111,4060000,2019
131,Hong Kong,109,828446,2022
132,Turkmenistan,102,603621,2019
133,Greenland,100,5700,2019
134,Federated States of Micronesia,96,11014,2020
135,Kosovo,94,309509,2019
136,Uzbekistan,87,3051734,2022
137,Indonesia,82,22587923,2021
138,Jamaica,81,237890,2019
139,Gambia,80,200000,2021
140,Chad,77,1124000,2016
141,Zimbabwe,76,1115000,2019
142,Vanuatu,71,21148,2019
143,Egypt,70,7195355,2020
144,Kenya,69,3608110,2019
145,El Salvador,68,437160,2019
146,Cuba,67,755250,2019
147,Senegal,65,1067370,2019
148,Nigeria,61,13000000,2021
149,Afghanistan,61,2306500,2019
150,Ivory Coast,60,1554000,2019
151,India,59,80888051,2020
152,Palestine,58,276878,2020
153,Vietnam,53,5038888,2022
154,Yemen,52,1522770,2019
155,Tajikistan,51,500000,2021
156,Madagascar,48,1302000,2019
157,Ghana,46,1405000,2019
158,Comoros,44,34900,2016
159,Sierra Leone,40,300000,2017
160,Djibouti,40,40000,2022
161,Angola,36,1145000,2019
162,Guinea-Bissau,35,62240,2016
163,Kiribati,34,4048,2020
164,Togo,33,268000,2019
165,Democratic Republic of the Congo,32,2791500,2019
166,Pakistan,29,6628063,2021
167,Zambia,29,510000,2019
168,Benin,27,320000,2019
169,Bangladesh,27,4471625,2021
170,Cambodia,27,456000,2020
171,Mozambique,26,800878,2020
172,Gabon,26,56600,2019
173,Burkina Faso,22,447000,2019
174,Liberia,22,110000,2019
175,Uganda,21,920000,2019
176,Eritrea,21,72400,2016
177,Guinea,20,262618,2020
178,Solomon Islands,19,13138,2020
179,Cameroon,18,467000,2019
180,Niger,18,438601,2020
181,Rwanda,17,221000,2020
182,Mauritania,14,65000,2019
183,Papua New Guinea,14,121138,2020
184,Mali,13,257000,2019
185,Malawi,13,240000,2019
186,Tanzania,12,700000,2020
187,Haiti,11,126180,2019
188,Ethiopia,10,1200000,2020
189,Burundi,10,117000,2019
190,Somalia,5,80000,2017
191,Sudan,4,181000,2019
192,Republic of the Congo,4,22540,2020
193,Central African Republic,4,19300,2019
194,North Korea,1,30000,2022
